Coins,Type,Mechanism ,Multi-Sig Hot,Multi-Sig Custody,TSS Hot,TSS Custody,Trade,Staking,OVC,WRW,Type of Coin,Blockchain,Testnet
Bread · BRD,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
BTU Protocol · BTU,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
buying.com · BUY,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
BZZ · BZZ,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
C8 Plus · C8P,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
CACXT · CACXT,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
CannDollar · CDAG,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Capdax Token · XCD,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Cardano,Coin,Proof of Stake,2022 Q3,2022 Q3,,,x,2022 Q3,,,UTXO,Cardano,
Carry · CRE,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Cartesi · CTSI,ERC20 token,Proof of work,TRUE,TRUE,,,x,2022 H2,TRUE,TRUE,Account-based,Ethereum,x
CashBet Coin · CBC,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Casper,Coin,Proof of Stake,TRUE,TRUE,,,x,Hot+Custody,TRUE,,,Casper,
Caspian · CSP,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Celer Network · CELR,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Celo,Coin,Proof of Stake,TRUE,TRUE,,,x,2022 H2,TRUE,,Account-based,Celo,TRUE
Celsius · CEL,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Ceramic Token · FIRE,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
CertiK,Coin,Proof of Stake,2024 +,2024 +,,,,2024+,,,,CertiK,
Chainlink · LINK,ERC20 token,Proof of work,TRUE,TRUE,,,TRUE,,TRUE,TRUE,Account-based,Ethereum,x
ChainX,Coin,Proof of Stake,2024 +,2024 +,,,,2024+,,,,ChainX,
Change · CAG,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Changer · CNG,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Changer Token · CFX,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Chiliz · CHZ,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Chintai · CHEX,EOS token,Proof of Stake,TRUE,TRUE,,,H1 2022,2022 Q3,TRUE,TRUE,Account-based,EOS,
Civic · CVC,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Clover · CLV,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
CoinBurp · BURP,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Coineru Gold · CGLD,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Coineru Platinum · CPLT,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Coineru Silver · CSLV,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
CoinLion - R · LION,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
CoinLoan Token · CLT,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
CoinquistaCoin · CQX,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
CoinZoom · ZOOM,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Colu Local Network · CLN,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Compound Augur · CREP,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Compound BAT · CBAT,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Compound DAI · CDAI,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Compound Ether · CETH,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Compound Token · COMP,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Compound USDC · CUSDC,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Compound WBTC · cWBTC,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Compound ZRX · CZRX,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Content Box · BOX,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Convex Finance · CVX,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
